ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2000;JAN;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;201935,4724;21928386
2000;JUL;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;606625,6051;92024004
2000;JUN;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;120523,898;14645555
2000;MAI;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;122162,7612;15559163
2000;MAR;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;109998,8816;13833099
2000;NOV;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;0;0
2000;OUT;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;0;0
2000;SET;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;179803,2908;26965579
2000;ABR;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;0,25;1429
2000;AGO;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;10149,67857;1415232
2000;DEZ;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;0,010204082;6498
2000;FEV;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;1,691836735;7703
2000;JAN;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;0,6;4475
2000;JUL;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;15539,85918;2411292
2000;JUN;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;8463,488776;1248736
2000;MAI;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;1,547959184;6814
2000;MAR;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;18459,1;2824179
2000;NOV;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;13204,58673;3120674
2000;OUT;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;3227,823469;764898
2000;SET;ÓLEO COMBUSTÍVEL;IMPORTAÇÃO;18310,76837;2951990
2000;ABR;ÓLEO DIESEL;EXPORTAÇÃO;0,002409639;5
2000;AGO;ÓLEO DIESEL;EXPORTAÇÃO;0;0
2000;DEZ;ÓLEO DIESEL;EXPORTAÇÃO;0,018072289;5
2000;FEV;ÓLEO DIESEL;EXPORTAÇÃO;91,99759036;22227
2000;JAN;ÓLEO DIESEL;EXPORTAÇÃO;62,16024096;12796
2000;JUL;ÓLEO DIESEL;EXPORTAÇÃO;76,66746988;14924
2000;JUN;ÓLEO DIESEL;EXPORTAÇÃO;0;0
2000;MAI;ÓLEO DIESEL;EXPORTAÇÃO;280,3144578;59253
2000;MAR;ÓLEO DIESEL;EXPORTAÇÃO;77,3746988;17391
2000;NOV;ÓLEO DIESEL;EXPORTAÇÃO;0;0
2000;OUT;ÓLEO DIESEL;EXPORTAÇÃO;0,012048193;11
2000;SET;ÓLEO DIESEL;EXPORTAÇÃO;60040,31446;10126097
2000;ABR;ÓLEO DIESEL;IMPORTAÇÃO;396133,1867;75336436
